Latitude,Longitude,departement,Phénomène,Couleur
44.61111808910727,-0.8098077711475753,Gironde,vent,green
44.61111808910727,-0.8098077711475753,Gironde,crues,green
44.61111808910727,-0.8098077711475753,Gironde,orages,green
44.61111808910727,-0.8098077711475753,Gironde,pluie,green
44.61111808910727,-0.8098077711475753,Gironde,neige/verglas,green
44.61111808910727,-0.8098077711475753,Gironde,canicule,green
44.69683834987835,4.615818725482872,Ardèche,vent,green
44.69683834987835,4.615818725482872,Ardèche,crues,green
44.69683834987835,4.615818725482872,Ardèche,orages,green
44.69683834987835,4.615818725482872,Ardèche,pluie,green
44.69683834987835,4.615818725482872,Ardèche,neige/verglas,green
44.69683834987835,4.615818725482872,Ardèche,canicule,green
47.82597815689748,5.34885404996382,Haute-Marne,vent,green
47.82597815689748,5.34885404996382,Haute-Marne,crues,green
47.82597815689748,5.34885404996382,Haute-Marne,orages,green
47.82597815689748,5.34885404996382,Haute-Marne,pluie,green
47.82597815689748,5.34885404996382,Haute-Marne,neige/verglas,green
47.82597815689748,5.34885404996382,Haute-Marne,canicule,green
49.87384669909541,2.515098856090618,Somme,vent,green
49.87384669909541,2.515098856090618,Somme,crues,green
49.87384669909541,2.515098856090618,Somme,orages,green
49.87384669909541,2.515098856090618,Somme,pluie,green
49.87384669909541,2.515098856090618,Somme,neige/verglas,green
49.87384669909541,2.515098856090618,Somme,canicule,green
45.07460581780869,5.877235721733938,Isère,vent,green
45.07460581780869,5.877235721733938,Isère,crues,green
45.07460581780869,5.877235721733938,Isère,orages,green
45.07460581780869,5.877235721733938,Isère,pluie,green
45.07460581780869,5.877235721733938,Isère,neige/verglas,green
45.07460581780869,5.877235721733938,Isère,canicule,green
49.111987506467244,-1.3361318814681935,Manche,vent,green
49.111987506467244,-1.3361318814681935,Manche,crues,green
49.111987506467244,-1.3361318814681935,Manche,orages,green
49.111987506467244,-1.3361318814681935,Manche,pluie,green
49.111987506467244,-1.3361318814681935,Manche,neige/verglas,green
49.111987506467244,-1.3361318814681935,Manche,canicule,green
45.823229162976226,3.6817170230906013,Puy-de-Dôme,vent,green
45.823229162976226,3.6817170230906013,Puy-de-Dôme,crues,green
45.823229162976226,3.6817170230906013,Puy-de-Dôme,orages,yellow
45.823229162976226,3.6817170230906013,Puy-de-Dôme,orages,green
45.823229162976226,3.6817170230906013,Puy-de-Dôme,pluie,green
45.823229162976226,3.6817170230906013,Puy-de-Dôme,neige/verglas,green
45.823229162976226,3.6817170230906013,Puy-de-Dôme,canicule,green
49.0444089101123,7.765743131378982,Bas-Rhin,vent,green
49.0444089101123,7.765743131378982,Bas-Rhin,crues,green
49.0444089101123,7.765743131378982,Bas-Rhin,orages,green
49.0444089101123,7.765743131378982,Bas-Rhin,pluie,green
49.0444089101123,7.765743131378982,Bas-Rhin,neige/verglas,green
49.0444089101123,7.765743131378982,Bas-Rhin,canicule,green
45.09586010899987,0.462426210314554,Dordogne,vent,green
45.09586010899987,0.462426210314554,Dordogne,crues,green
45.09586010899987,0.462426210314554,Dordogne,orages,green
45.09586010899987,0.462426210314554,Dordogne,pluie,green
45.09586010899987,0.462426210314554,Dordogne,neige/verglas,green
45.09586010899987,0.462426210314554,Dordogne,canicule,green
43.17189148829075,-0.921661120303706,Pyrénées-Atlantiques,vent,green
43.17189148829075,-0.921661120303706,Pyrénées-Atlantiques,crues,green
43.17189148829075,-0.921661120303706,Pyrénées-Atlantiques,orages,green
43.17189148829075,-0.921661120303706,Pyrénées-Atlantiques,pluie,green
43.17189148829075,-0.921661120303706,Pyrénées-Atlantiques,neige/verglas,green
43.17189148829075,-0.921661120303706,Pyrénées-Atlantiques,canicule,green
44.78290492889209,3.7323142262491755,Lozère,vent,green
44.78290492889209,3.7323142262491755,Lozère,crues,green
44.78290492889209,3.7323142262491755,Lozère,orages,green
44.78290492889209,3.7323142262491755,Lozère,pluie,green
44.78290492889209,3.7323142262491755,Lozère,neige/verglas,green
44.78290492889209,3.7323142262491755,Lozère,canicule,green
43.64146058758625,5.272881820939317,Bouches-du-Rhône,vent,green
43.64146058758625,5.272881820939317,Bouches-du-Rhône,crues,green
43.64146058758625,5.272881820939317,Bouches-du-Rhône,orages,green
43.64146058758625,5.272881820939317,Bouches-du-Rhône,pluie,green
43.64146058758625,5.272881820939317,Bouches-du-Rhône,neige/verglas,green
43.64146058758625,5.272881820939317,Bouches-du-Rhône,canicule,green
44.197003930132254,0.20730775511050847,Lot-et-Garonne,vent,green
44.197003930132254,0.20730775511050847,Lot-et-Garonne,crues,green
44.197003930132254,0.20730775511050847,Lot-et-Garonne,orages,green
44.197003930132254,0.20730775511050847,Lot-et-Garonne,pluie,green
44.197003930132254,0.20730775511050847,Lot-et-Garonne,neige/verglas,green
44.197003930132254,0.20730775511050847,Lot-et-Garonne,canicule,green
47.01705817444367,3.0423147888496933,Cher,vent,green
47.01705817444367,3.0423147888496933,Cher,crues,green
47.01705817444367,3.0423147888496933,Cher,orages,yellow
47.01705817444367,3.0423147888496933,Cher,orages,green
47.01705817444367,3.0423147888496933,Cher,pluie,green
47.01705817444367,3.0423147888496933,Cher,neige/verglas,green
47.01705817444367,3.0423147888496933,Cher,canicule,green
43.87216237196171,0.4168667442477485,Gers,vent,green
43.87216237196171,0.4168667442477485,Gers,crues,green
43.87216237196171,0.4168667442477485,Gers,orages,green
43.87216237196171,0.4168667442477485,Gers,pluie,green
43.87216237196171,0.4168667442477485,Gers,neige/verglas,green
43.87216237196171,0.4168667442477485,Gers,canicule,green
